Minion/Game,KDA,Death/Lose,Damage to Champion,GoldSpent/Assist,Minions/Assist,Wards Placed,DamageChampion/Kill,Kill/Game,WardsPlaced/Game,Kill/Win,Minions/Kill,WardsPlaced/Win,GoldSpent/Kill,Deaths,Wards/Assist,Assist/Win,Gold Earned,Wins,GoldEarned/Game,Win/Game,Minion/Win,Kills,Assist/Game,DamageChampion/Win,DamageChampion/Assist,Role,DamageChampion/Game,Assists,Games,Damage Taken,Gold Spent,DamageTaken/Lose,Minions Killed,Wards/Kill,DamageTaken/Death,Death/Game,GoldSpent/Game,GoldSpent/Win,Champion Name,Loses
" 74,891295786"," 2,36260022"," 9,479880775",24963288," 894,758130167"," 7,979060887",57248," 4009,522646964"," 2,452146514"," 22,54745963"," 5,201336675"," 30,541117893"," 47,826232247"," 3424,828300675",12722," 2,402249171"," 19,908939014",23466418,1197," 9242,385978732"," 0,471445451"," 158,854636591",6226," 9,385978732"," 20854,877192982"," 1047,513239058",SUPPORT," 9831,936983064",23831,2539,68586239,21322981," 51107,480625931",190149," 9,194988757"," 5391,152255935"," 5,010634108"," 8398,180779835"," 17813,685045948",Tahm Kench,1342
" 178,76369863"," 2,372398414"," 11,597701149",46773812," 1376,530253701"," 22,445666196",25247," 3758,140125341"," 6,089041096"," 12,351761252"," 12,446"," 29,358267717"," 25,247"," 1800,460870963",12108," 1,55089379"," 16,279",24316682,1000," 11896,615459883"," 0,489236791"," 365,393",12446," 7,964285714"," 46773,812"," 2873,260765403",MIDDLE," 22883,469667319",16279,2044,39620557,22408536," 37950,725095785",365393," 2,02852322"," 3272,262718864"," 5,923679061"," 10963,080234834"," 22408,536",Taliyah,1044
" 163,896103896"," 2,110970996"," 12,615909091",17954644," 1808,13153259"," 27,171657859",8334," 2716,696020578"," 7,80283353"," 9,839433294"," 16,238329238"," 21,004690573"," 20,476658477"," 1397,752156151",5551," 1,63123899"," 12,552825553",9964779,407," 11764,792207792"," 0,480519481"," 341,081081081",6609," 6,031877214"," 44114,604422604"," 3514,316696027",MIDDLE," 21197,926800472",5109,847,17858544,9237744," 40587,6",138820," 1,261007717"," 3217,176004324"," 6,553719008"," 10906,427390791"," 22697,15970516",Talon,440
" 43,246808511"," 3,123918311"," 9,339439655",9634923," 587,760050048"," 3,281562803",49079," 4190,919095259"," 1,22287234"," 26,105851064"," 2,414915966"," 35,364941279"," 51,553571429"," 6334,207481514",8667," 1,980908944"," 26,025210084",16250422,952," 8643,841489362"," 0,506382979"," 85,403361345",2299," 13,178723404"," 10120,717436975"," 388,881296416",SUPPORT," 5124,959042553",24776,1880,39460480,14562343," 42522,068965517",81304," 21,347977381"," 4552,957193954"," 4,610106383"," 7745,92712766"," 15296,578781513",Taric,928
" 172,446280992"," 1,890269513"," 11,879417879",23739971," 1946,268160463"," 30,164076617",10206," 4507,304157965"," 5,441115702"," 10,54338843"," 10,815195072"," 31,693183976"," 20,95687885"," 2044,930320866",5714," 1,844235634"," 11,363449692",11770713,487," 12159,827479339"," 0,503099174"," 342,767967146",5267," 5,716942149"," 48747,373716632"," 4289,839356704",MIDDLE," 24524,763429752",5534,968,19945465,10770648," 41466,663201663",166928," 1,93772546"," 3490,630906545"," 5,902892562"," 11126,702479339"," 22116,320328542",Teemo,481
" 32,545960054"," 2,734231057"," 10,275642434",59795363," 594,029924591"," 2,538368265",227167," 4003,170850907"," 1,695074898"," 25,779278257"," 3,507161305"," 19,20030796"," 53,338107537"," 4493,263506728",46785," 2,010612122"," 26,528293027",74434352,4259," 8446,930549251"," 0,483318202"," 67,338577131",14937," 12,8216069"," 14039,76590749"," 529,2374407",SUPPORT," 6785,674421244",112984,8812,177644286,67115877," 39016,974741928",286795," 15,208341702"," 3797,035075345"," 5,309237404"," 7616,418179755"," 15758,599906081",Thresh,4553
" 192,292739147"," 2,365955151"," 9,662695458",47728879," 2004,90699623"," 34,94888982",24717," 2913,673096881"," 6,293123319"," 9,495582021"," 13,000793651"," 30,556010012"," 19,616666667"," 1752,90141017",12977," 1,725806452"," 11,366666667",31582213,1260," 12133,00537841"," 0,484056857"," 397,252380952",16381," 5,502112947"," 37880,062698413"," 3332,556835637",ADC," 18336,104110642",14322,2603,46041618,28714278," 34282,664184661",500538," 1,508882242"," 3547,940047777"," 4,98540146"," 11031,224740684"," 22789,10952381",Tristana,1343
" 127,835844389"," 2,737678125"," 8,520017406",51510443," 1046,483796702"," 14,22602037",77096," 3776,425439883"," 3,067236339"," 17,336631437"," 6,347138204"," 41,677859238"," 35,875290833"," 3065,875293255",19579," 1,929281049"," 18,59516054",45765432,2149," 10291,304699798"," 0,483247133"," 264,53513262",13640," 8,986058017"," 23969,494183341"," 1289,017867421",JUNGLE," 11583,189341129",39961,4447,139905310,41818539," 60881,335944299",568486," 5,652199413"," 7145,682108381"," 4,402743423"," 9403,764110636"," 19459,534201954",Trundle,2298
" 208,83772392"," 1,830938996"," 10,240938166",14987278," 2821,201448151"," 51,250840445",9565," 3041,866856099"," 5,191780822"," 10,079030558"," 10,264583333"," 40,224680333"," 19,927083333"," 2214,245179622",4803," 2,473493664"," 8,05625",11988588,480," 12632,864067439"," 0,505795574"," 412,889583333",4927," 4,074815595"," 31223,495833333"," 3875,686061546",JUNGLE," 15792,706006322",3867,949,30659072,10909586," 65371,15565032",198187," 1,941343617"," 6383,317093483"," 5,061116965"," 11495,875658588"," 22728,304166667",Tryndamere,469
" 176,915703174"," 2,641011728"," 10,549977983",87163928," 1443,418499703"," 22,74193374",50178," 3318,002588504"," 5,52238806"," 10,548244692"," 10,567176187"," 32,036086791"," 20,184231698"," 2033,313475447",23959," 1,35594228"," 14,885760257",58336341,2486," 12263,262770654"," 0,522598276"," 338,530973451",26270," 7,779272651"," 35061,917940467"," 2355,3998811",MIDDLE," 18323,297876813",37006,4757,85701426,53415145," 37737,307793923",841588," 1,910087552"," 3577,003464251"," 5,036577675"," 11228,74605844"," 21486,381737731",Twisted Fate,2271
" 166,565217391"," 2,368359563"," 12,426131512",52316565," 1863,689004815"," 27,671749599",21631," 2681,525627883"," 7,854267311"," 8,708132045"," 14,859101295"," 21,206970784"," 16,47448591"," 1428,28692978",14551," 1,446696094"," 11,387661843",30449130,1313," 12258,103864734"," 0,528582931"," 315,116527037",19510," 6,019323671"," 39845,06092917"," 3498,967696629",ADC," 21061,419082126",14952,2484,45056647,27865878," 38477,068317677",413748," 1,10871348"," 3096,463954367"," 5,857890499"," 11218,147342995"," 21223,060167555",Twitch,1171
" 68,679025424"," 2,864578194"," 8,929515419",11597330," 1507,33459688"," 9,452252515",9346," 2439,488851493"," 5,036016949"," 9,900423729"," 9,702040816"," 13,637568363"," 19,073469388"," 2174,759781237",4054," 1,362589299"," 13,997959184",11294191,490," 11964,185381356"," 0,519067797"," 132,312244898",4754," 7,265889831"," 23668,020408163"," 1690,819361423",JUNGLE," 12285,30720339",6859,944,27510046,10338808," 60594,814977974",64833," 1,965923433"," 6785,901825358"," 4,294491525"," 10952,127118644"," 21099,608163265",Udyr,454
" 173,495652174"," 2,086429725"," 10,672413793",4491666," 1646,075914424"," 27,538992409",2618," 3960,904761905"," 4,930434783"," 11,382608696"," 9,947368421"," 35,188712522"," 22,964912281"," 2103,319223986",1238," 1,806763285"," 12,710526316",2593604,114," 11276,539130435"," 0,495652174"," 350,035087719",1134," 6,3"," 39400,578947368"," 3099,838509317",ADC," 19528,982608696",1449,230,4154771,2385164," 35816,99137931",39904," 2,308641975"," 3356,034733441"," 5,382608696"," 10370,27826087"," 20922,49122807",Urgot,116
" 195,04351145"," 2,469859985"," 10,438461538",31649642," 1518,363838341"," 27,032056708",14103," 4332,00684369"," 5,577099237"," 10,765648855"," 11,06969697"," 34,972214618"," 21,368181818"," 1964,354640022",6785," 1,492065171"," 14,321212121",15734643,660," 12011,177862595"," 0,503816794"," 387,131818182",7306," 7,215267176"," 47954,003030303"," 3348,459796868",ADC," 24160,032061069",9452,1310,20952860,14351575," 32235,169230769",255507," 1,930331235"," 3088,114959469"," 5,179389313"," 10955,400763359"," 21744,810606061",Varus,650
" 182,458640459"," 2,01993124"," 11,043612109",70263119," 2051,746840603"," 34,057582552",34585," 2945,672200562"," 6,511875512"," 9,441714442"," 13,916569428"," 28,019368633"," 20,177946324"," 1687,983901396",21524," 1,762382797"," 11,44924154",44101329,1714," 12039,674856675"," 0,467922468"," 389,933488915",23853," 5,357357357"," 40993,651691949"," 3580,46876274",ADC," 19181,850668851",19624,3663,72458160,40263480," 37177,095946639",668346," 1,449922442"," 3366,389146999"," 5,876057876"," 10991,941031941"," 23490,945157526",Vayne,1949
" 167,162703379"," 2,251757188"," 10,479910714",15866210," 1572,35862692"," 24,130623306",10688," 3149,932499504"," 6,304130163"," 13,376720901"," 14,35042735"," 26,516378797"," 30,45014245"," 1727,815167759",4695," 1,930984643"," 15,769230769",9524693,351," 11920,767209011"," 0,439299124"," 380,521367521",5037," 6,927409262"," 45202,877492877"," 2866,523938573",MIDDLE," 19857,584480601",5535,799,14045964,8703005," 31352,598214286",133563," 2,121897955"," 2991,685623003"," 5,876095119"," 10892,371714643"," 24794,886039886",Veigar,448
" 132,396126761"," 2,459265792"," 10,438434983",38716667," 1274,836523009"," 16,479401023",28337," 4492,535042933"," 5,057511737"," 16,629694836"," 10,320958084"," 26,178115572"," 33,936526946"," 2025,123230448",9071," 2,06990504"," 16,395209581",19226507,835," 11283,161384977"," 0,490023474"," 270,183233533",8618," 8,034037559"," 46367,265868263"," 2828,098392988",MIDDLE," 22721,04870892",13690,1704,26443354,17452512," 30429,636363636",225603," 3,288117893"," 2915,153125345"," 5,323356808"," 10242,084507042"," 20901,211976048",Vel'Koz,869
" 48,576078728"," 2,505228943"," 10,390602056",20306666," 1562,701068376"," 6,855662393",13536," 2426,994860763"," 6,333838002"," 10,24678274"," 13,0734375"," 7,669296044"," 21,15"," 1748,163260428",7076," 1,446153846"," 14,625",15768017,640," 11936,424678274"," 0,484481453"," 100,2640625",8367," 7,085541257"," 31729,165625"," 2169,515598291",JUNGLE," 15372,192278577",9360,1321,33641389,14626882," 49399,983847283",64169," 1,617784152"," 4754,294657999"," 5,35654807"," 11072,582891749"," 22854,503125",Vi,681
" 202,306905371"," 2,463176823"," 9,836871069",117771470," 1768,060104475"," 32,359682799",56715," 3943,725345746"," 5,875073775"," 11,157780838"," 11,761717212"," 34,434785521"," 22,337534462"," 1881,439038275",25025," 1,784725282"," 12,515951162",61515567,2539," 12102,216604367"," 0,499508164"," 405,012209531",29863," 6,251819791"," 46384,982276487"," 3706,069293222",MIDDLE," 23169,677355892",31778,5083,83728819,56185414," 32912,271619497",1028326," 1,89917289"," 3345,806953047"," 4,923273657"," 11053,593153649"," 22128,953918866",Viktor,2544
" 198,426971326"," 2,306884481"," 9,704703833",48600827," 1638,483647929"," 30,622208394",23533," 4324,686510055"," 5,034946237"," 10,543458781"," 10,367158672"," 39,409948389"," 21,709409594"," 2108,683840541",11141," 1,627117472"," 13,342250923",25934791,1084," 11619,530017921"," 0,485663082"," 408,569188192",11238," 6,47983871"," 44834,711254613"," 3360,355873609",MIDDLE," 21774,5640681",14463,2232,65751878,23697389," 57275,155052265",442889," 2,094055882"," 5901,793196302"," 4,991487455"," 10617,109767025"," 21861,0599631",Vladimir,1148
" 63,6069869"," 3,051412691"," 9,326133909",13858285," 1266,787767424"," 7,647197795",9287," 2493,842900846"," 6,066593886"," 10,138646288"," 12,267108168"," 10,484793954"," 20,501103753"," 1736,84649991",4318," 1,218926368"," 16,818984547",10502994,453," 11466,150655022"," 0,494541485"," 128,618101545",5557," 8,31768559"," 30592,240618102"," 1818,911274445",JUNGLE," 15129,13209607",7619,916,33981242,9651656," 73393,611231102",58264," 1,671225481"," 7869,671607226"," 4,713973799"," 10536,742358079"," 21306,08388521",Volibear,463
" 50,416666667"," 2,655764967"," 10,078212291",4887768," 1217,782623626"," 5,817307692",3181," 2601,260244811"," 5,592261905"," 9,467261905"," 11,968152866"," 9,015433741"," 20,261146497"," 1887,271420969",1804," 1,092376374"," 18,547770701",3845311,157," 11444,37797619"," 0,467261905"," 107,898089172",1879," 8,666666667"," 31132,280254777"," 1678,491758242",JUNGLE," 14546,928571429",2912,336,12778760,3546183," 71389,720670391",16940," 1,692921767"," 7083,569844789"," 5,369047619"," 10554,116071429"," 22587,152866242",Warwick,179
" 118,747552448"," 2,368976652"," 11,29312763",26513416," 1721,051866319"," 18,425455729",13781," 2689,260168374"," 6,894405594"," 9,637062937"," 13,750348675"," 17,223754945"," 19,220362622"," 1608,805558373",8052," 1,495334201"," 12,853556485",17135910,717," 11983,153846154"," 0,501398601"," 236,832635983",9859," 6,444755245"," 36978,264993026"," 2876,889756944",TOP," 18540,85034965",9216,1430,35099323,15861214," 49227,661991585",169809," 1,397809108"," 4359,081346249"," 5,630769231"," 11091,758041958"," 22121,637377964",Wukong,713
" 175,980443286"," 2,970966858"," 9,658730159",18801259," 1316,743044701"," 21,096748984",9518," 4225,951674534"," 5,800521512"," 12,409387223"," 11,437017995"," 30,338727804"," 24,467866324"," 1893,576534053",3651," 1,487652391"," 16,447300771",9253080,389," 12063,989569752"," 0,507170795"," 346,984575835",4449," 8,341590613"," 48332,285347044"," 2938,615035949",MIDDLE," 24512,723598435",6398,767,11494824,8424522," 30409,587301587",134977," 2,139357159"," 3148,404272802"," 4,760104302"," 10983,731421121"," 21656,868894602",Xerath,378
" 63,655797101"," 2,091469048"," 12,025925926",8954827," 1683,450370793"," 10,022247576",5376," 2725,974733638"," 5,951086957"," 9,739130435"," 11,64893617"," 10,696499239"," 19,063829787"," 1796,705327245",3247," 1,533371363"," 12,432624113",6414947,282," 11621,280797101"," 0,510869565"," 124,602836879",3285," 6,351449275"," 31754,705673759"," 2554,14346834",JUNGLE," 16222,512681159",3506,552,17382876,5902177," 64381,022222222",35138," 1,63652968"," 5353,518940561"," 5,882246377"," 10692,349637681"," 20929,705673759",Xin Zhao,270
" 200,931897759"," 1,894460308"," 12,851376147",102551040," 1956,524141713"," 34,962774545",56109," 3059,672405048"," 5,867822129"," 9,823004202"," 11,220957482"," 34,243011009"," 18,784399063"," 1916,246024406",35020," 1,709233253"," 10,989956478",69997926,2987," 12254,538865546"," 0,522934174"," 384,239370606",33517," 5,74702381"," 34332,453967191"," 3123,984524934",MIDDLE," 17953,613445378",32827,5712,123935414,64226818," 45480,88587156",1147723," 1,674046007"," 3538,989548829"," 6,130952381"," 11244,190826331"," 21502,115165718",Yasuo,2725
" 176,676870748"," 1,781512605"," 10,4125",7978432," 1760,5625"," 30,059606481",3197," 6434,219354839"," 4,217687075"," 10,87414966"," 9,253731343"," 41,889516129"," 23,858208955"," 2453,429032258",1666," 1,850115741"," 12,895522388",3308664,134," 11253,959183673"," 0,455782313"," 387,634328358",1240," 5,87755102"," 59540,537313433"," 4617,148148148",TOP," 27137,523809524",1728,294,11009773,3042252," 68811,08125",51943," 2,578225806"," 6608,507202881"," 5,666666667"," 10347,795918367"," 22703,373134328",Yorick,160
" 57,268137747"," 3,693269952"," 7,589240506",45429211," 997,452114634"," 5,66844265",31438," 3229,258672164"," 4,703443664"," 10,510865931"," 9,970233877"," 12,175789025"," 22,28065202"," 2142,522604492",11991," 1,040373287"," 21,416017009",32938422,1411," 11012,511534604"," 0,471748579"," 121,39546421",14068," 10,102975593"," 32196,46420978"," 1503,382454166",JUNGLE," 15188,63624206",30218,2991,109630441,30141008," 69386,355063291",171289," 2,234717088"," 9142,72712868"," 4,009027081"," 10077,234369776"," 21361,45145287",Zac,1580
